epoch,train_loss,val_loss,miou,mpa,dice,recall,precision,fg_iou,bg_iou,fpr,fnr
1,0.6723,0.6269,0.2903,0.6008,0.4504,0.9009,0.3013,0.2911,0.2895,0.7002,0.0991
2,0.5890,0.5410,0.4555,0.6713,0.5029,0.7097,0.3926,0.3364,0.5745,0.3679,0.2903
3,0.5513,0.5158,0.4812,0.6879,0.5215,0.7031,0.4187,0.3529,0.6096,0.3277,0.2969
4,0.5083,0.4934,0.5081,0.6957,0.5325,0.6627,0.4503,0.3633,0.6530,0.2712,0.3373
5,0.4883,0.4759,0.5207,0.7141,0.5547,0.7042,0.4613,0.3841,0.6574,0.2756,0.2958
6,0.4660,0.4584,0.5391,0.7225,0.5678,0.6908,0.4858,0.3963,0.6820,0.2454,0.3092
7,0.4502,0.4486,0.5390,0.7382,0.5829,0.7537,0.4777,0.4113,0.6667,0.2768,0.2463
8,0.4369,0.4388,0.5499,0.7446,0.5914,0.7515,0.4904,0.4203,0.6794,0.2625,0.2485
9,0.4212,0.4248,0.5687,0.7486,0.6019,0.7244,0.5171,0.4311,0.7063,0.2274,0.2756
10,0.4031,0.4176,0.5780,0.7551,0.6110,0.7293,0.5280,0.4408,0.7152,0.2189,0.2707
11,0.3981,0.4118,0.5877,0.7537,0.6133,0.6992,0.5489,0.4430,0.7324,0.1925,0.3008
12,0.3808,0.4034,0.5909,0.7650,0.6234,0.7348,0.5445,0.4539,0.7280,0.2061,0.2652
13,0.3762,0.3915,0.5946,0.7857,0.6410,0.8056,0.5352,0.4727,0.7166,0.2355,0.1944
14,0.3623,0.3893,0.6151,0.7708,0.6397,0.7039,0.5895,0.4713,0.7589,0.1645,0.2961
15,0.3534,0.3862,0.6197,0.7695,0.6412,0.6894,0.6017,0.4730,0.7664,0.1526,0.3106
16,0.3419,0.3722,0.6290,0.7830,0.6562,0.7236,0.6027,0.4895,0.7684,0.1590,0.2764
17,0.3353,0.3653,0.6386,0.7865,0.6640,0.7172,0.6203,0.4985,0.7786,0.1464,0.2828
18,0.3291,0.3562,0.6452,0.7990,0.6763,0.7529,0.6152,0.5127,0.7777,0.1572,0.2471
19,0.3194,0.3611,0.6453,0.7890,0.6694,0.7134,0.6322,0.5049,0.7857,0.1383,0.2866
20,0.3134,0.3531,0.6541,0.7981,0.6807,0.7320,0.6378,0.5183,0.7899,0.1384,0.2680
21,0.3098,0.3545,0.6519,0.7987,0.6795,0.7360,0.6338,0.5161,0.7876,0.1416,0.2640
22,0.3074,0.3618,0.6599,0.7835,0.6739,0.6627,0.6936,0.5107,0.8091,0.0980,0.3373
23,0.2943,0.3516,0.6607,0.7996,0.6852,0.7223,0.6568,0.5229,0.7985,0.1256,0.2777
24,0.2835,0.3353,0.6640,0.8147,0.6971,0.7748,0.6360,0.5365,0.7915,0.1476,0.2252
25,0.2834,0.3440,0.6715,0.7986,0.6926,0.7009,0.6870,0.5314,0.8116,0.1060,0.2991
26,0.2725,0.3260,0.6801,0.8169,0.7093,0.7548,0.6709,0.5511,0.8092,0.1232,0.2452
27,0.2733,0.3190,0.6807,0.8268,0.7152,0.7915,0.6539,0.5585,0.8029,0.1401,0.2085
28,0.2659,0.3306,0.6870,0.8087,0.7098,0.7140,0.7078,0.5521,0.8219,0.0984,0.2860
29,0.2592,0.3287,0.6876,0.8086,0.7102,0.7123,0.7102,0.5525,0.8226,0.0971,0.2877
30,0.2574,0.3127,0.6909,0.8247,0.7211,0.7656,0.6833,0.5654,0.8164,0.1184,0.2344
31,0.2509,0.3095,0.6987,0.8241,0.7263,0.7506,0.7059,0.5718,0.8256,0.1043,0.2494
32,0.2519,0.3146,0.6977,0.8192,0.7234,0.7338,0.7156,0.5676,0.8277,0.0972,0.2662
33,0.2396,0.3065,0.7061,0.8253,0.7327,0.7434,0.7240,0.5790,0.8331,0.0944,0.2566
34,0.2473,0.3195,0.6994,0.8190,0.7244,0.7298,0.7214,0.5692,0.8295,0.0942,0.2702
35,0.2449,0.3097,0.7033,0.8247,0.7302,0.7455,0.7177,0.5765,0.8301,0.0980,0.2545
36,0.2374,0.3053,0.7001,0.8312,0.7309,0.7734,0.6949,0.5771,0.8230,0.1135,0.2266
37,0.2240,0.2988,0.7084,0.8336,0.7382,0.7696,0.7113,0.5861,0.8306,0.1043,0.2304
38,0.2297,0.3032,0.7072,0.8300,0.7355,0.7578,0.7162,0.5830,0.8313,0.1002,0.2422
39,0.2253,0.2970,0.7081,0.8342,0.7384,0.7726,0.7088,0.5865,0.8297,0.1061,0.2274
40,0.2227,0.3112,0.7064,0.8249,0.7327,0.7413,0.7264,0.5793,0.8334,0.0933,0.2587
41,0.2251,0.3024,0.7119,0.8327,0.7403,0.7605,0.7233,0.5890,0.8348,0.0971,0.2395
42,0.2140,0.2935,0.7156,0.8406,0.7465,0.7834,0.7152,0.5969,0.8343,0.1041,0.2166
43,0.2170,0.2980,0.7159,0.8356,0.7447,0.7651,0.7277,0.5944,0.8373,0.0956,0.2349
44,0.2147,0.2974,0.7146,0.8371,0.7442,0.7722,0.7205,0.5942,0.8351,0.0999,0.2278
45,0.2173,0.2896,0.7163,0.8450,0.7489,0.7976,0.7083,0.5999,0.8327,0.1095,0.2024
46,0.2130,0.2963,0.7156,0.8383,0.7456,0.7741,0.7214,0.5957,0.8356,0.0999,0.2259
47,0.2101,0.3030,0.7169,0.8317,0.7434,0.7485,0.7409,0.5931,0.8407,0.0873,0.2515
48,0.2007,0.2921,0.7236,0.8386,0.7517,0.7636,0.7424,0.6034,0.8438,0.0883,0.2364
49,0.2054,0.2806,0.7249,0.8493,0.7574,0.8011,0.7201,0.6107,0.8390,0.1040,0.1989
50,0.2058,0.2845,0.7269,0.8444,0.7568,0.7802,0.7367,0.6099,0.8438,0.0930,0.2198
51,0.1997,0.2821,0.7277,0.8457,0.7578,0.7840,0.7353,0.6114,0.8440,0.0940,0.2160
52,0.2013,0.2883,0.7273,0.8425,0.7563,0.7734,0.7419,0.6093,0.8452,0.0896,0.2266
53,0.2016,0.2904,0.7273,0.8395,0.7551,0.7620,0.7508,0.6078,0.8469,0.0844,0.2380
54,0.1997,0.2895,0.7270,0.8428,0.7560,0.7746,0.7407,0.6094,0.8446,0.0904,0.2254
55,0.1944,0.2863,0.7271,0.8437,0.7563,0.7771,0.7392,0.6098,0.8444,0.0912,0.2229
56,0.1940,0.2755,0.7331,0.8496,0.7634,0.7897,0.7412,0.6187,0.8474,0.0917,0.2103
57,0.1922,0.2829,0.7303,0.8468,0.7602,0.7836,0.7405,0.6145,0.8462,0.0913,0.2164
58,0.1879,0.2858,0.7289,0.8446,0.7581,0.7778,0.7419,0.6119,0.8459,0.0899,0.2222
59,0.1851,0.2823,0.7330,0.8470,0.7621,0.7799,0.7477,0.6170,0.8490,0.0873,0.2201
60,0.1903,0.2783,0.7352,0.8516,0.7658,0.7928,0.7429,0.6217,0.8487,0.0912,0.2072
61,0.1892,0.2833,0.7305,0.8485,0.7609,0.7887,0.7375,0.6155,0.8455,0.0935,0.2113
62,0.1868,0.2872,0.7342,0.8421,0.7613,0.7609,0.7641,0.6158,0.8526,0.0780,0.2391
63,0.1877,0.2846,0.7352,0.8457,0.7634,0.7718,0.7577,0.6187,0.8517,0.0820,0.2282
64,0.1899,0.2866,0.7343,0.8467,0.7631,0.7763,0.7529,0.6182,0.8503,0.0848,0.2237
65,0.1857,0.2770,0.7385,0.8512,0.7682,0.7868,0.7535,0.6248,0.8523,0.0857,0.2132
66,0.1887,0.2787,0.7385,0.8507,0.7680,0.7852,0.7545,0.6244,0.8525,0.0850,0.2148
67,0.1816,0.2794,0.7407,0.8507,0.7697,0.7818,0.7609,0.6266,0.8548,0.0816,0.2182
68,0.1840,0.2791,0.7383,0.8510,0.7679,0.7861,0.7534,0.6243,0.8523,0.0854,0.2139
69,0.1818,0.2774,0.7407,0.8528,0.7705,0.7892,0.7554,0.6277,0.8537,0.0848,0.2108
70,0.1795,0.2718,0.7429,0.8548,0.7731,0.7938,0.7558,0.6310,0.8548,0.0851,0.2062
71,0.1795,0.2688,0.7458,0.8562,0.7759,0.7945,0.7602,0.6347,0.8569,0.0832,0.2055
72,0.1790,0.2738,0.7441,0.8527,0.7731,0.7842,0.7645,0.6311,0.8570,0.0801,0.2158
73,0.1756,0.2737,0.7433,0.8544,0.7732,0.7911,0.7584,0.6312,0.8555,0.0836,0.2089
74,0.1805,0.2707,0.7445,0.8568,0.7751,0.7982,0.7557,0.6336,0.8555,0.0857,0.2018
75,0.1767,0.2704,0.7454,0.8557,0.7753,0.7930,0.7606,0.6340,0.8567,0.0829,0.2070
76,0.1771,0.2718,0.7459,0.8548,0.7754,0.7891,0.7643,0.6342,0.8576,0.0808,0.2109
77,0.1740,0.2712,0.7441,0.8549,0.7740,0.7919,0.7593,0.6323,0.8560,0.0834,0.2081
78,0.1764,0.2688,0.7458,0.8572,0.7762,0.7978,0.7579,0.6352,0.8563,0.0846,0.2022
79,0.1762,0.2747,0.7442,0.8535,0.7734,0.7865,0.7632,0.6316,0.8567,0.0810,0.2135
80,0.1777,0.2760,0.7420,0.8525,0.7714,0.7861,0.7598,0.6290,0.8551,0.0825,0.2139
81,0.1750,0.2765,0.7434,0.8514,0.7721,0.7805,0.7663,0.6298,0.8569,0.0790,0.2195
82,0.5676,0.5125,0.5579,0.7054,0.5515,0.5714,0.5394,0.3819,0.7339,0.1607,0.4286
83,0.4695,0.4550,0.5627,0.7391,0.5874,0.6974,0.5120,0.4169,0.7085,0.2192,0.3026
84,0.4518,0.4245,0.5822,0.7617,0.6144,0.7408,0.5296,0.4447,0.7196,0.2173,0.2592
85,0.4072,0.4061,0.6079,0.7706,0.6337,0.7200,0.5710,0.4654,0.7505,0.1788,0.2800
86,0.3932,0.3976,0.6244,0.7740,0.6447,0.6985,0.6046,0.4776,0.7712,0.1505,0.3015
87,0.3877,0.3861,0.6238,0.7871,0.6536,0.7502,0.5840,0.4876,0.7601,0.1759,0.2498
88,0.3772,0.3787,0.6326,0.7918,0.6615,0.7506,0.5964,0.4967,0.7684,0.1671,0.2494
89,0.3747,0.3693,0.6390,0.8007,0.6709,0.7706,0.5991,0.5069,0.7710,0.1692,0.2294
90,0.3622,0.3656,0.6569,0.7980,0.6801,0.7267,0.6451,0.5177,0.7960,0.1307,0.2733
91,0.3483,0.3562,0.6470,0.8101,0.6815,0.7904,0.6038,0.5192,0.7748,0.1703,0.2096
92,0.3465,0.3537,0.6666,0.8061,0.6912,0.7395,0.6550,0.5309,0.8023,0.1272,0.2605
93,0.3439,0.3457,0.6615,0.8162,0.6941,0.7856,0.6270,0.5337,0.7892,0.1533,0.2144
94,0.3250,0.3413,0.6688,0.8185,0.7000,0.7818,0.6392,0.5412,0.7965,0.1447,0.2182
95,0.3296,0.3401,0.6786,0.8167,0.7051,0.7580,0.6654,0.5477,0.8094,0.1247,0.2420
96,0.3264,0.3393,0.6828,0.8153,0.7074,0.7451,0.6800,0.5502,0.8154,0.1145,0.2549
97,0.3159,0.3293,0.6760,0.8271,0.7095,0.8008,0.6419,0.5526,0.7994,0.1467,0.1992
98,0.3182,0.3256,0.6831,0.8287,0.7148,0.7941,0.6552,0.5591,0.8071,0.1368,0.2059
99,0.3097,0.3239,0.6877,0.8280,0.7175,0.7837,0.6671,0.5624,0.8130,0.1278,0.2163
100,0.3032,0.3206,0.6771,0.8374,0.7157,0.8357,0.6303,0.5596,0.7946,0.1610,0.1643
101,0.3034,0.3173,0.7006,0.8308,0.7282,0.7724,0.6947,0.5754,0.8257,0.1108,0.2276
102,0.2925,0.3081,0.6984,0.8396,0.7312,0.8078,0.6728,0.5788,0.8181,0.1287,0.1922
103,0.2822,0.3108,0.7026,0.8352,0.7318,0.7853,0.6908,0.5800,0.8252,0.1149,0.2147
104,0.3007,0.3073,0.7017,0.8399,0.7335,0.8035,0.6801,0.5818,0.8215,0.1238,0.1965
105,0.2917,0.3079,0.7046,0.8394,0.7352,0.7971,0.6878,0.5841,0.8250,0.1183,0.2029
106,0.2820,0.3047,0.7052,0.8419,0.7369,0.8053,0.6846,0.5861,0.8242,0.1214,0.1947
107,0.2826,0.3061,0.7091,0.8396,0.7386,0.7907,0.6988,0.5884,0.8298,0.1115,0.2093
108,0.2774,0.3009,0.7116,0.8435,0.7423,0.8007,0.6975,0.5929,0.8303,0.1137,0.1993
109,0.2769,0.2990,0.7105,0.8454,0.7424,0.8094,0.6909,0.5931,0.8280,0.1186,0.1906
110,0.2828,0.3026,0.7162,0.8402,0.7441,0.7818,0.7162,0.5953,0.8370,0.1013,0.2182
111,0.2659,0.2936,0.7123,0.8492,0.7456,0.8199,0.6887,0.5966,0.8280,0.1214,0.1801
112,0.2679,0.2932,0.7133,0.8494,0.7463,0.8190,0.6906,0.5977,0.8290,0.1201,0.1810
113,0.2687,0.3002,0.7198,0.8409,0.7471,0.7784,0.7247,0.5991,0.8405,0.0966,0.2216
114,0.2688,0.2877,0.7189,0.8527,0.7519,0.8218,0.6982,0.6046,0.8332,0.1163,0.1782
115,0.2561,0.2851,0.7137,0.8576,0.7502,0.8470,0.6782,0.6024,0.8250,0.1318,0.1530
116,0.2569,0.2847,0.7210,0.8544,0.7540,0.8241,0.7003,0.6072,0.8347,0.1153,0.1759
117,0.2539,0.2859,0.7266,0.8529,0.7575,0.8102,0.7173,0.6118,0.8413,0.1044,0.1898
118,0.2646,0.2850,0.7287,0.8524,0.7589,0.8053,0.7238,0.6136,0.8437,0.1004,0.1947
119,0.2590,0.2792,0.7217,0.8606,0.7571,0.8449,0.6910,0.6112,0.8321,0.1238,0.1551
120,0.2626,0.2896,0.7298,0.8472,0.7575,0.7851,0.7387,0.6121,0.8475,0.0908,0.2149
121,0.2481,0.2819,0.7303,0.8555,0.7615,0.8138,0.7215,0.6169,0.8437,0.1028,0.1862
