epoch,train_loss,val_loss,miou,mpa,dice,recall,precision,fg_iou,bg_iou,fpr,fnr
1,0.6331,0.6154,0.3952,0.5110,0.1384,0.0902,0.3023,0.0744,0.7160,0.0682,0.9098
2,0.6034,0.5937,0.4286,0.5977,0.4084,0.4932,0.3520,0.2568,0.6004,0.2978,0.5068
3,0.5790,0.5731,0.4689,0.6220,0.4317,0.4626,0.4104,0.2756,0.6623,0.2185,0.5374
4,0.5557,0.5502,0.4925,0.6488,0.4699,0.5084,0.4425,0.3076,0.6774,0.2109,0.4916
5,0.5370,0.5252,0.5093,0.6707,0.4999,0.5540,0.4608,0.3340,0.6846,0.2126,0.4460
6,0.5117,0.5012,0.5258,0.6878,0.5233,0.5812,0.4810,0.3553,0.6963,0.2056,0.4188
7,0.4928,0.4801,0.5406,0.7091,0.5506,0.6308,0.4931,0.3809,0.7003,0.2127,0.3692
8,0.4710,0.4636,0.5513,0.7256,0.5704,0.6706,0.5006,0.4000,0.7025,0.2194,0.3294
9,0.4580,0.4583,0.5694,0.7179,0.5684,0.5941,0.5507,0.3984,0.7405,0.1584,0.4059
10,0.4434,0.4472,0.5776,0.7298,0.5837,0.6235,0.5543,0.4133,0.7419,0.1639,0.3765
11,0.4306,0.4449,0.5854,0.7268,0.5843,0.5935,0.5814,0.4142,0.7567,0.1398,0.4065
12,0.4226,0.4312,0.5902,0.7433,0.6017,0.6500,0.5654,0.4319,0.7485,0.1633,0.3500
13,0.4174,0.4228,0.5956,0.7516,0.6113,0.6706,0.5667,0.4419,0.7494,0.1675,0.3294
14,0.4120,0.4200,0.6033,0.7509,0.6144,0.6507,0.5874,0.4451,0.7615,0.1490,0.3493
15,0.3912,0.4122,0.6067,0.7607,0.6241,0.6817,0.5810,0.4552,0.7582,0.1604,0.3183
16,0.3814,0.4098,0.6121,0.7573,0.6245,0.6582,0.5992,0.4560,0.7681,0.1437,0.3418
17,0.3838,0.4037,0.6189,0.7634,0.6333,0.6677,0.6074,0.4652,0.7726,0.1409,0.3323
18,0.3793,0.3941,0.6214,0.7773,0.6448,0.7156,0.5918,0.4775,0.7653,0.1610,0.2844
19,0.3728,0.3848,0.6127,0.7937,0.6514,0.7949,0.5561,0.4847,0.7407,0.2075,0.2051
20,0.3642,0.3788,0.6250,0.7932,0.6577,0.7683,0.5795,0.4917,0.7582,0.1820,0.2317
21,0.3651,0.3733,0.6313,0.7950,0.6626,0.7633,0.5898,0.4972,0.7654,0.1732,0.2367
22,0.3647,0.3699,0.6409,0.7960,0.6688,0.7487,0.6087,0.5045,0.7773,0.1567,0.2513
23,0.3494,0.3674,0.6428,0.8007,0.6728,0.7624,0.6067,0.5091,0.7765,0.1610,0.2376
24,0.3422,0.3678,0.6521,0.7915,0.6736,0.7116,0.6435,0.5099,0.7943,0.1285,0.2884
25,0.3457,0.3645,0.6557,0.7946,0.6780,0.7165,0.6474,0.5148,0.7966,0.1273,0.2835
26,0.3407,0.3578,0.6565,0.8011,0.6822,0.7398,0.6367,0.5200,0.7930,0.1376,0.2602
27,0.3275,0.3572,0.6526,0.8083,0.6839,0.7730,0.6170,0.5217,0.7835,0.1564,0.2270
28,0.3386,0.3452,0.6595,0.8148,0.6922,0.7851,0.6223,0.5315,0.7875,0.1556,0.2149
29,0.3248,0.3510,0.6674,0.8071,0.6936,0.7424,0.6543,0.5326,0.8023,0.1281,0.2576
30,0.3291,0.3420,0.6654,0.8155,0.6965,0.7768,0.6348,0.5366,0.7943,0.1459,0.2232
31,0.3235,0.3392,0.6548,0.8261,0.6952,0.8332,0.6006,0.5348,0.7748,0.1809,0.1668
32,0.3130,0.3347,0.6661,0.8247,0.7021,0.8087,0.6239,0.5427,0.7894,0.1593,0.1913
33,0.3169,0.3381,0.6740,0.8170,0.7032,0.7674,0.6524,0.5444,0.8037,0.1335,0.2326
34,0.3193,0.3356,0.6766,0.8155,0.7042,0.7578,0.6612,0.5457,0.8076,0.1267,0.2422
35,0.3207,0.3322,0.6802,0.8195,0.7088,0.7659,0.6635,0.5510,0.8094,0.1269,0.2341
36,0.3121,0.3273,0.6766,0.8301,0.7119,0.8099,0.6388,0.5544,0.7987,0.1497,0.1901
37,0.3155,0.3236,0.6795,0.8289,0.7133,0.8010,0.6466,0.5563,0.8027,0.1433,0.1990
38,0.3093,0.3278,0.6870,0.8222,0.7150,0.7642,0.6753,0.5585,0.8155,0.1199,0.2358
39,0.2997,0.3231,0.6861,0.8255,0.7159,0.7779,0.6667,0.5597,0.8124,0.1270,0.2221
40,0.3028,0.3282,0.6914,0.8215,0.7177,0.7542,0.6887,0.5618,0.8210,0.1112,0.2458
41,0.3014,0.3297,0.6923,0.8187,0.7172,0.7431,0.6973,0.5612,0.8234,0.1056,0.2569
42,0.2972,0.3306,0.6906,0.8154,0.7140,0.7345,0.6988,0.5578,0.8234,0.1037,0.2655
43,0.3041,0.3337,0.6941,0.8152,0.7165,0.7273,0.7105,0.5607,0.8275,0.0970,0.2727
44,0.2936,0.3341,0.6948,0.8111,0.7150,0.7112,0.7233,0.5588,0.8307,0.0891,0.2888
45,0.2901,0.3183,0.6964,0.8301,0.7257,0.7777,0.6838,0.5717,0.8212,0.1175,0.2223
46,0.3003,0.3097,0.6936,0.8397,0.7283,0.8161,0.6611,0.5745,0.8127,0.1366,0.1839
47,0.2901,0.3193,0.6990,0.8306,0.7278,0.7749,0.6902,0.5741,0.8239,0.1136,0.2251
48,0.2882,0.3077,0.6963,0.8397,0.7304,0.8116,0.6677,0.5769,0.8157,0.1322,0.1884
49,0.2915,0.3111,0.6997,0.8365,0.7313,0.7949,0.6814,0.5782,0.8212,0.1218,0.2051
50,0.2820,0.3051,0.6950,0.8433,0.7311,0.8264,0.6595,0.5778,0.8122,0.1398,0.1736
51,0.2777,0.3088,0.7025,0.8377,0.7335,0.7948,0.6854,0.5814,0.8236,0.1194,0.2052
52,0.2781,0.3128,0.7063,0.8316,0.7336,0.7670,0.7076,0.5816,0.8310,0.1039,0.2330
53,0.2842,0.3063,0.7072,0.8391,0.7377,0.7923,0.6946,0.5866,0.8278,0.1141,0.2077
54,0.2698,0.3175,0.7078,0.8261,0.7320,0.7451,0.7242,0.5799,0.8356,0.0930,0.2549
55,0.2778,0.3118,0.7103,0.8317,0.7365,0.7612,0.7185,0.5853,0.8352,0.0978,0.2388
